Nr.,Autorius,Pavadinimas,Originalo pavadinimas,Kalba,Leidykla,Metai,Žanras,Serija,Puslapiai,ISBN,Lentynos vieta,Pastabos,Teminė linija,Subgrupė,ID,Statusas,Dabartinis laikytojas,Būklė,Kaina (EUR),Įsigijimo data,Įsigijimo šaltinis,Tiražas,Originalo metai,Foto,Atnaujinta,Kas atnaujino,Patalpa,Lentyna
97.0,Stendhal,Parmos vienuolynas,La Chartreuse de Parme,Lietuvių,Obuolys,,Romanas,Geriausia iš geriausių,,,"Spinta A, 4 lentyna",,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00097,Lentynoje,,,,,,,,,,,,
98.0,Gustave Flaubert,Ponia Bovari,Madame Bovary,Lietuvių,Obuolys,,Romanas,Geriausia iš geriausių,,,"Spinta A, 4 lentyna",,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00098,Lentynoje,,,,,,,,,,,,
99.0,,Старинные японские повести,,Rusų,,,Proza / antologija,,,,"Spinta A, 4 lentyna",Senosios japonų apysakos (rinkinys),A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas),K00099,Lentynoje,,,,,,,,,,,,
100.0,,Selected Essays on Chinese Classic Novels,,Anglų,China Intercontinental Press,,Literatūros kritika,A Classic Chinese Reader,,,"Spinta A, 4 lentyna",,B9. Šiuolaikinė pasaulio proza,Šiuolaikinis pasaulio romanas,K00100,Lentynoje,,,,,,,,,,,,
101.0,Gustave Flaubert (Флобер),Rinktinė,,Rusų,,,Proza,,,,"Spinta A, 4 lentyna",PATIKSLINTI pavadinimą (padėta gulsčiai kairėje),A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas),K00101,Lentynoje,,,,,,,,,,,,
103.0,,,,,,,,,,,"Spinta A, 4 lentyna",PATIKSLINTI: ant lentynos gulsčiai sudėtos knygos (juoda su HESSE lipduku; raudona auksuota; žalia su keltiniu ornamentu) — nugarėlės neįskaitomos,"X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00103,Lentynoje,,,,,,,,,,,,
104.0,F. Scott Fitzgerald,The Great Gatsby,,Anglų,,,Romanas,,,,"Spinta A, 4 lentyna",nugarėlė iš dalies uždengta · PATIKSLINTI,A7. Prarastoji karta ir Amerikos XX a.,★ pora: originalas + vertimas,K00104,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio Žydriaus,1.0
106.0,George Meredith (Džordžas Mereditas),Rinktinė,,Lietuvių,,,Romanas,,,,"Spinta A, 4 lentyna",PATIKSLINTI tikslų pavadinimą,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00106,Lentynoje,,,,,,,,,,,,
107.0,Prosper Mérimée (P. Mérimé),Klaros Gasul teatras,Le Théâtre de Clara Gazul,Lietuvių,,,Dramaturgija,,,,"Spinta A, 4 lentyna",,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00107,Lentynoje,,,,,,,,,,,,
108.0,Michel de Montaigne,On Friendship,De l'amitié,Anglų,Penguin (Great Ideas),,Esė,Great Ideas,,,"Spinta A, 4 lentyna",,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00108,Lentynoje,,,,,,,,,,,,
109.0,Jean-Jacques Rousseau (Ž. Ruso),Rinktinė,,Lietuvių,,,Proza / filosofija,,,,"Spinta A, 4 lentyna",PATIKSLINTI tikslų pavadinimą (ruda auksuota nugarėlė),A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00109,Lentynoje,,,,,,,,,,,,
110.0,Émile Zola,Abato Mure nuodėmė,La Faute de l'abbé Mouret,Lietuvių,,,Romanas,Literatūros klasika,,,"Spinta A, 4 lentyna",Serijos Nr. 5,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00110,Lentynoje,,,,,,,,,,,,
111.0,Émile Zola,Spąstai,L'Assommoir,Lietuvių,,,Romanas,Literatūros klasika,,,"Spinta A, 4 lentyna",Serijos Nr. 7,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00111,Lentynoje,,,,,,,,,,,,
112.0,Honoré de Balzac,Eugenija Grandė,Eugénie Grandet,Lietuvių,,,Romanas,,,,"Spinta A, 4 lentyna",,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00112,Lentynoje,,,,,,,,,,,,
113.0,Charles Baudelaire,Selected Poems,Les Fleurs du mal (rinktinė),Anglų,,,Poezija,,,,"Spinta A, 4 lentyna",,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00113,Lentynoje,,,,,,,,,,,,
114.0,Guy de Maupassant,The Best Short Stories,,Anglų,Wordsworth Editions,,Apsakymai,,,,"Spinta A, 4 lentyna",,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00114,Lentynoje,,,,,,,,,,,,
115.0,August Strindberg (А. Стриндберг),Rinktinė,,Rusų,,,Proza / dramaturgija,,,,"Spinta A, 4 lentyna",PATIKSLINTI tikslų pavadinimą (raudona odinė nugarėlė),A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas),K00115,Lentynoje,,,,,,,,,,,,
116.0,Jean-Jacques Rousseau,The Confessions,Les Confessions,Anglų,Wordsworth Editions,,Autobiografija,,,,"Spinta A, 4 lentyna",,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00116,Lentynoje,,,,,,,,,,,,
117.0,Paul Verlaine,Selected Poems,,Anglų,Oxford University Press,,Poezija,Oxford World's Classics,,,"Spinta A, 4 lentyna",,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00117,Lentynoje,,,,,,,,,,,,
118.0,Beaumarchais,The Figaro Trilogy,,Anglų,Oxford University Press,,Dramaturgija,Oxford World's Classics,,,"Spinta A, 4 lentyna",,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00118,Lentynoje,,,,,,,,,,,,
119.0,Théophile Gautier (Teofilis Gotjė),Kapitonas Frakasas,Le Capitaine Fracasse,Lietuvių,,,Romanas,,,,"Spinta A, 4 lentyna",,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00119,Lentynoje,,,,,,,,,,,,
120.0,Jens Peter Jacobsen (Jensas Peteris Jakobsenas),Nilsas Liungė,Niels Lyhne,Lietuvių,,,Romanas,,,,"Spinta A, 4 lentyna",,A3. Klasikos kanonas (pagal šalis),Šiaurės ir Vidurio Europos klasika,K00120,Lentynoje,,,,,,,,,,,,
121.0,Jean Racine,"Iphigenia, Phaedra and Athaliah",,Anglų,Penguin Classics,,Dramaturgija,Penguin Classics,,,"Spinta A, 4 lentyna",,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00121,Lentynoje,,,,,,,,,,,,
122.0,Guy de Maupassant,Mont-Oriol,Mont-Oriol,,,,Romanas,,,,"Spinta A, 4 lentyna","PATIKSLINTI kalbą (raudona odinė, padėta gulsčiai)",A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K00122,Lentynoje,,,,,,,,,,,,
123.0,,Воспоминание чувств,,Rusų,,,Proza,,,,"Spinta A, 4 lentyna","PATIKSLINTI autorių (žalia, padėta gulsčiai)",A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas),K00123,Lentynoje,,,,,,,,,,,,
124.0,,,,,,,,,,,"Spinta A, 4 lentyna",PATIKSLINTI: smėlio spalvos knyga (tarp Beaumarchais ir Gotjė) — nugarėlė neįskaitoma,"X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00124,Lentynoje,,,,,,,,,,,,
125.0,John Irving,Vandens metodas,The Water-Method Man,Lietuvių,,,Romanas,,,,"Spinta A, 5 lentyna",,B9. Šiuolaikinė pasaulio proza,Šiuolaikinis pasaulio romanas,K00125,Lentynoje,,,,,,,,,,,,
126.0,August Strindberg,Pamišėlio išpažintis,En dåres försvarstal,Lietuvių,baltos lankos,,Romanas,,,,"Spinta A, 5 lentyna",,A3. Klasikos kanonas (pagal šalis),Šiaurės ir Vidurio Europos klasika,K00126,Lentynoje,,,,,,,,,,,,
127.0,Per Olov Enquist,Rinktinė,,,,,Proza,,,,"Spinta A, 5 lentyna",PATIKSLINTI pavadinimą ir kalbą,B9. Šiuolaikinė pasaulio proza,Šiuolaikinis pasaulio romanas,K00127,Lentynoje,,,,,,,,,,,,
128.0,,Паноптикум города Пражского,,Rusų,,,Proza,,,,"Spinta A, 5 lentyna",PATIKSLINTI autorių,A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas),K00128,Lentynoje,,,,,,,,,,,,
129.0,Luigi Pirandello,Rinktinė,,Lietuvių (?),,,Proza,,,,"Spinta A, 5 lentyna",PATIKSLINTI pavadinimą (violetinė nugarėlė),A6. XX a. modernizmas,,K00129,Lentynoje,,,,,,,,,,,,
130.0,,Tales of Iceland,,Anglų,,,Proza / antologija,,,,"Spinta A, 5 lentyna",PATIKSLINTI autorių/sudarytoją,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00130,Lentynoje,,,,,,,,,,,,
131.0,Jean-Louis Curtis (Žanas Luji Kiurtisas),Rinktinė,,Lietuvių,,,Romanas,,,,"Spinta A, 5 lentyna",PATIKSLINTI pavadinimą,B9. Šiuolaikinė pasaulio proza,Šiuolaikinis pasaulio romanas,K00131,Lentynoje,,,,,,,,,,,,
132.0,Haruki Murakami,Hard-Boiled Wonderland and the End of the World,Sekai no owari to hādoboirudo wandārando,Anglų,,,Romanas,,,,"Spinta A, 5 lentyna",,B9. Šiuolaikinė pasaulio proza,Šiuolaikinis pasaulio romanas,K00132,Lentynoje,,,,,,,,,,,,
133.0,Julian Barnes,Flobero papūga,Flaubert's Parrot,Lietuvių,,,Romanas,,,,"Spinta A, 5 lentyna",,B9. Šiuolaikinė pasaulio proza,Šiuolaikinis pasaulio romanas,K00133,Lentynoje,,,,,,,,,,,,
134.0,Kingsley Amis,Everyday Drinking,,Anglų,,,Esė / negrožinė,,,,"Spinta A, 5 lentyna",,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00134,Lentynoje,,,,,,,,,,,,
135.0,"Sud. David Remnick, Henry Finder",Fierce Pajamas: An Anthology of Humor Writing from The New Yorker,,Anglų,,,Humoras / antologija,The New Yorker,,,"Spinta A, 5 lentyna",,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00135,Lentynoje,,,,,,,,,,,,
136.0,John Lloyd; John Mitchinson,The Book of General Ignorance,,Anglų,,,Negrožinė / faktai,QI,,,"Spinta A, 5 lentyna",,B9. Šiuolaikinė pasaulio proza,Šiuolaikinis pasaulio romanas,K00136,Lentynoje,,,,,,,,,,,,
137.0,Mark Stevenson,An Optimist's Tour of the Future,,Anglų,,,Negrožinė / mokslas,,,,"Spinta A, 5 lentyna",,F36. Mokslo ir idėjų istorija,,K00137,Lentynoje,,,,,,,,,,,,
138.0,William Makepeace Thackeray,The Book of Snobs,,Anglų,,,Satyra / esė,,,,"Spinta A, 5 lentyna",,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K00138,Lentynoje,,,,,,,,,,,,
139.0,Richard Dawkins,The Greatest Show on Earth,,Anglų,,,Mokslo populiarinimas,,,,"Spinta A, 5 lentyna",,F35. Gyvybės mokslai ir evoliucija,,K00139,Lentynoje,,,,,,,,,,,,
140.0,,Topsy-Turvy World,,Anglų,,,Antologija,,,,"Spinta A, 5 lentyna",Padėta gulsčiai ant lentynos viršaus. PATIKSLINTI,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00140,Lentynoje,,,,,,,,,,,,
141.0,,,,,,,,,,,"Spinta A, 5 lentyna",PATIKSLINTI: dar keli maži įrašai (geltonas su „XI“; raudonas „novelės“; „Pusiau/Sally“; raudonas „GREEN“ — galimai Graham Greene). Reikia ryškesnės nuotraukos,"X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00141,Lentynoje,,,,,,,,,,,,
142.0,Gottfried Keller,Der grüne Heinrich,,Vokiečių,,,Romanas,,,,"Spinta A, 6 lentyna",PATIKSLINTI (nugarėlė iš dalies matoma),A5. Vokiškoji lentyna (originalo k.),,K00142,Lentynoje,,,,,,,,,,,,
143.0,Thomas Mann,Der Zauberberg,,Vokiečių,,,Romanas,,,,"Spinta A, 6 lentyna",,A5. Vokiškoji lentyna (originalo k.),,K00143,Lentynoje,,,,,,,,,,,,
144.0,Adalbert Stifter,Der Nachsommer,,Vokiečių,Albatros,,Romanas,,,,"Spinta A, 6 lentyna",,A5. Vokiškoji lentyna (originalo k.),,K00144,Lentynoje,,,,,,,,,,,,
145.0,Voltaire,Das Zeitalter Ludwigs XIV.,Le Siècle de Louis XIV,Vokiečių,Borowsky,,Istorija,,,,"Spinta A, 6 lentyna",,A5. Vokiškoji lentyna (originalo k.),,K00145,Lentynoje,,,,,,,,,,,,
146.0,Wolfram von Eschenbach,Parzival,,Vokiečių,,,Epinė poema,,,,"Spinta A, 6 lentyna",,A2. Viduramžių ir tautų epai,,K00146,Lentynoje,,,,,,,,,,,,
147.0,Hermann Hesse,Das Glasperlenspiel,,Vokiečių,,,Romanas,,,,"Spinta A, 6 lentyna",Stiklo karoliukų žaidimas,A5. Vokiškoji lentyna (originalo k.),,K00147,Lentynoje,,,,,,,,,,,,
148.0,Wolfgang Amadeus Mozart,Briefe,,Vokiečių,marixverlag,,Laiškai,,,,"Spinta A, 6 lentyna",,A5. Vokiškoji lentyna (originalo k.),,K00148,Lentynoje,,,,,,,,,,,,
149.0,,Klassische Upanishaden,,Vokiečių,,,Religija / filosofija,,,,"Spinta A, 6 lentyna",,D21. Religijotyra ir šventraščiai,Krikščionybė ir religijotyra,K00149,Lentynoje,,,,,,,,,,,,
150.0,Walther von der Vogelweide,Lieder und Gedichte,,Vokiečių,Anaconda,,Poezija,,,,"Spinta A, 6 lentyna",Nr. 15,A5. Vokiškoji lentyna (originalo k.),,K00150,Lentynoje,,,,,,,,,,,,
151.0,,Briefwechsel Schiller–Goethe (2 tomas),,Vokiečių,,,Laiškai / korespondencija,,,,"Spinta A, 6 lentyna","Schillerio ir Goethe's susirašinėjimas, II t.",A5. Vokiškoji lentyna (originalo k.),,K00151,Lentynoje,,,,,,,,,,,,
152.0,Eberhard Hilscher,Thomas Mann,,Vokiečių,,,Biografija,,,,"Spinta A, 6 lentyna",,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00152,Lentynoje,,,,,,,,,,,,
153.0,,,,,,,,,,,"Spinta A, 6 lentyna",PATIKSLINTI: smėlio spalvos apiplyšusi knyga (su HESSE lipduku) — nugarėlė neįskaitoma,"X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00153,Lentynoje,,,,,,,,,,,,
155.0,Rabindranath Tagore (Rabindranatas Tagorė),Atsisveikinimas,,Lietuvių,,,Proza,,,,"Spinta A, 5 lentyna",PATIKSLINTI tikslų pavadinimą,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00155,Lentynoje,,,,,,,,,,,,
156.0,,Amerikiečių novelės,,Lietuvių,,,Apsakymai / antologija,,,,"Spinta A, 5 lentyna",Sudaryta antologija,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00156,Lentynoje,,,,,,,,,,,,
157.0,Pedro Calderón de la Barca,Gyvenimas – tai sapnas,La vida es sueño,Lietuvių,,,Dramaturgija,,,,"Spinta A, 5 lentyna",,A3. Klasikos kanonas (pagal šalis),Italų ir ispanų klasika,K00157,Lentynoje,,,,,,,,,,,,
158.0,Haruki Murakami,Страна чудес без тормозов и Конец Света,Sekai no owari to hādoboirudo wandārando,Rusų,Эксмо,,Romanas,,,,"Spinta A, 5 lentyna",PATIKSLINTI: gali sutapti su Nr. 132 (tas pats kūrinys kita kalba),B9. Šiuolaikinė pasaulio proza,Šiuolaikinis pasaulio romanas,K00158,Lentynoje,,,,,,,,,,,,
159.0,Gabriel García Márquez,El otoño del patriarca,,Ispanų,Norma,,Romanas,,,,"Spinta A, 5 lentyna",Patriarcho ruduo,B9. Šiuolaikinė pasaulio proza,Nobelio laureatai,K00159,Lentynoje,,,,,,,,,,,,
160.0,Johann Gottfried Herder,Abhandlung über den Ursprung der Sprache,,Vokiečių,Reclam,,Esė / kalbotyra,Universal-Bibliothek,,,"Spinta A, 7 lentyna",Reclam Nr. 8729,A5. Vokiškoji lentyna (originalo k.),,K00160,Lentynoje,,,,,,,,,,,,
161.0,Friedrich Hebbel,Maria Magdalena,,Vokiečių,Reclam,,Drama,Universal-Bibliothek,,,"Spinta A, 7 lentyna",Reclam Nr. 7470. Autorių patikslinti,A5. Vokiškoji lentyna (originalo k.),,K00161,Lentynoje,,,,,,,,,,,,
162.0,Gottfried Keller,Kleider machen Leute,,Vokiečių,Reclam,,Apysaka,Universal-Bibliothek,,,"Spinta A, 7 lentyna",Reclam Nr. 3173,A5. Vokiškoji lentyna (originalo k.),,K00162,Lentynoje,,,,,,,,,,,,
163.0,Christian Reuter,Schelmuffsky,,Vokiečių,Reclam,,Romanas / satyra,Universal-Bibliothek,,,"Spinta A, 7 lentyna",PATIKSLINTI autorių,A5. Vokiškoji lentyna (originalo k.),,K00163,Lentynoje,,,,,,,,,,,,
164.0,Nikolaus Lenau,Gedichte (rinktinė),,Vokiečių,Reclam,,Poezija,Universal-Bibliothek,,,"Spinta A, 7 lentyna",Reclam Nr. 4343. Tikslų pavadinimą patikslinti,A5. Vokiškoji lentyna (originalo k.),,K00164,Lentynoje,,,,,,,,,,,,
165.0,Martin Luther,An den christlichen Adel deutscher Nation (Studienausgabe),,Vokiečių,Reclam,,Teologija / esė,Universal-Bibliothek,,,"Spinta A, 7 lentyna",,A5. Vokiškoji lentyna (originalo k.),,K00165,Lentynoje,,,,,,,,,,,,
166.0,Friedrich Gottlieb Klopstock,Rinktinė,,Vokiečių,Reclam,,Poezija,Universal-Bibliothek,,,"Spinta A, 7 lentyna",Reclam Nr. 19300. Tikslų pavadinimą patikslinti,A5. Vokiškoji lentyna (originalo k.),,K00166,Lentynoje,,,,,,,,,,,,
168.0,Christoph Martin Wieland,Die Geschichte der Abderiten,,Vokiečių,Reclam,,Romanas / satyra,Universal-Bibliothek,,,"Spinta A, 7 lentyna",Reclam Nr. 559,A5. Vokiškoji lentyna (originalo k.),,K00168,Lentynoje,,,,,,,,,,,,
169.0,Joseph von Eichendorff,Gedichte,,Vokiečių,Reclam,,Poezija,Universal-Bibliothek,,,"Spinta A, 7 lentyna",Reclam Nr. 240,A5. Vokiškoji lentyna (originalo k.),,K00169,Lentynoje,,,,,,,,,,,,
170.0,Georg Büchner,Werke,,Vokiečių,,,Dramaturgija / proza,,,,"Spinta A, 7 lentyna",PATIKSLINTI tikslų pavadinimą (žalias tomas),A5. Vokiškoji lentyna (originalo k.),,K00170,Lentynoje,,,,,,,,,,,,
171.0,,,,,,,,,,,"Spinta A, 7 lentyna","PATIKSLINTI: dar keli geltoni Reclam tomeliai (Nr. 331, 1524 ir „Faust“) — pavadinimai iš dalies matomi","X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00171,Lentynoje,,,,,,,,,,,,
172.0,Jean Paul,Titan,,Vokiečių,,,Romanas,,,,"Spinta A, 8 lentyna (apatinė)",,A5. Vokiškoji lentyna (originalo k.),,K00172,Lentynoje,,,,,,,,,,,,
173.0,Friedrich Schiller,Gedichte,,Vokiečių,,,Poezija,,,,"Spinta A, 8 lentyna (apatinė)",PATIKSLINTI (gotikinis šriftas),A5. Vokiškoji lentyna (originalo k.),,K00173,Lentynoje,,,,,,,,,,,,
174.0,Johann Wolfgang von Goethe,Briefe an Frau von Stein,,Vokiečių,,,Laiškai,,,,"Spinta A, 8 lentyna (apatinė)",,A5. Vokiškoji lentyna (originalo k.),,K00174,Lentynoje,,,,,,,,,,,,
175.0,Johann Wolfgang von Goethe,Faust I,,Vokiečių,,,Drama / poema,,,,"Spinta A, 8 lentyna (apatinė)",„G Klassiker“ leidimas,A5. Vokiškoji lentyna (originalo k.),,K00175,Lentynoje,,,,,,,,,,,,
176.0,Carlo Gozzi,Unnütze Erinnerungen (Memoiren),Memorie inutili,Vokiečių,,,Memuarai,,,,"Spinta A, 8 lentyna (apatinė)",,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00176,Lentynoje,,,,,,,,,,,,
177.0,Jeremias Gotthelf,Uli der Knecht,,Vokiečių,,,Romanas,Deutsche Klassiker,,,"Spinta A, 8 lentyna (apatinė)",,A5. Vokiškoji lentyna (originalo k.),,K00177,Lentynoje,,,,,,,,,,,,
178.0,Gottfried Keller,Die Leute von Seldwyla,,Vokiečių,,,Apysakos,,,,"Spinta A, 8 lentyna (apatinė)",,A3. Klasikos kanonas (pagal šalis),Vokiečių klasika vertimuose,K00178,Lentynoje,,,,,,,,,,,,
179.0,H. J. C. von Grimmelshausen,Der abenteuerliche Simplicissimus,,Vokiečių,,,Romanas,,,,"Spinta A, 8 lentyna (apatinė)",Nr. 307,A5. Vokiškoji lentyna (originalo k.),,K00179,Lentynoje,,,,,,,,,,,,
180.0,,I Ging (Yijing / Permainų knyga),易經,Vokiečių,Anaconda,,Filosofija / religija,,,,"Spinta A, 8 lentyna (apatinė)",,A5. Vokiškoji lentyna (originalo k.),,K00180,Lentynoje,,,,,,,,,,,,
181.0,,Griechenland,,Vokiečių,Die Blauen Führer,,Kelionių vadovas,Die Blauen Führer,,,"Spinta A, 8 lentyna (apatinė)",Kelionių vadovas po Graikiją,"H47. Kelionės, atlasai, geografija",Kelionių literatūra,K00181,Lentynoje,,,,,,,,,,,,
182.0,Friedrich Hölderlin,Gedichte,,Vokiečių,Insel Verlag,,Poezija,insel taschenbuch,,,"Spinta A, 8 lentyna (apatinė)",it 700 (skiriasi nuo Nr. 167 „Hyperion“),A5. Vokiškoji lentyna (originalo k.),,K00182,Lentynoje,,,,,,,,,,,,
183.0,Franz Kafka,Erzählungen,,Vokiečių,Insel Verlag,,Apsakymai,insel taschenbuch,,,"Spinta A, 8 lentyna (apatinė)","vokiškas leidimas, Nr. 700 · daug vokiškų rinkinių pavadinimu „Erzählungen“ (Schocken, Fischer, Reclam ir kt.) — konkretus leidimas nenustatytas, todėl palikta tuščia",A5. Vokiškoji lentyna (originalo k.),,K00183,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,29.0
184.0,Heinrich Heine,Buch der Lieder,,Vokiečių,,,Poezija,,,,"Spinta A, 8 lentyna (apatinė)",PATIKSLINTI,A5. Vokiškoji lentyna (originalo k.),,K00184,Lentynoje,,,,,,,,,,,,
185.0,Johann Gottfried Herder,Werke (1 tomas),,Vokiečių,,,Rinktiniai raštai,,,,"Spinta A, 8 lentyna (apatinė)","Odinis daugiatomis, 1 t.",A3. Klasikos kanonas (pagal šalis),Vokiečių klasika vertimuose,K00185,Lentynoje,,,,,,,,,,,,
186.0,,,,,,,,,,,"Spinta A, 8 lentyna (apatinė)",PATIKSLINTI: greta „Briefe an Frau von Stein“ – ruda „Goethe · Fa…“ (galimai „Faustas“; gali dubliuotis su Nr. 175),"X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00186,Lentynoje,,,,,,,,,,,,
187.0,,,,,,,,,,,"Spinta A, 8 lentyna (apatinė)",PATIKSLINTI: keli tamsūs/odiniai tomai gotikiniu šriftu (tarp jų žalias su ornamentu) — nugarėlės neįskaitomos,"X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00187,Lentynoje,,,,,,,,,,,,
188.0,Friedrich Hebbel (?),Werke,,Vokiečių,Bibliothek Deutscher Klassiker (BDK),,Rinktiniai raštai,BDK,,,"Spinta A, 8 lentyna (apatinė)",PATIKSLINTI autorių (nugarėlėje „HEBEL/HEBBEL“). Odinis BDK,A5. Vokiškoji lentyna (originalo k.),,K00188,Lentynoje,,,,,,,,,,,,
189.0,Wilhelm Hauff,Werke (1 tomas),,Vokiečių,Bibliothek Deutscher Klassiker (BDK),,Rinktiniai raštai,BDK,,,"Spinta A, 8 lentyna (apatinė)","Odinis BDK, 1 t.",A5. Vokiškoji lentyna (originalo k.),,K00189,Lentynoje,,,,,,,,,,,,
190.0,Wilhelm Hauff,Werke (2 tomas),,Vokiečių,Bibliothek Deutscher Klassiker (BDK),,Rinktiniai raštai,BDK,,,"Spinta A, 8 lentyna (apatinė)","Odinis BDK, 2 t.",A5. Vokiškoji lentyna (originalo k.),,K00190,Lentynoje,,,,,,,,,,,,
191.0,Konfucijus (Konfuzius),Gespräche (Lun Yu),論語,Vokiečių,Reclam,,Filosofija,Universal-Bibliothek,,,"Spinta A, 8 lentyna (apatinė)",Reclam Nr. 888,A5. Vokiškoji lentyna (originalo k.),★ pora: originalas + vertimas,K00191,Lentynoje,,,,,,,,,,,,
192.0,Heinrich Heine,Italienische Reisebilder,,Vokiečių,Reclam,,Kelionių proza,Universal-Bibliothek,,,"Spinta A, 8 lentyna (apatinė)",Reclam Nr. 149,A5. Vokiškoji lentyna (originalo k.),,K00192,Lentynoje,,,,,,,,,,,,
193.0,Ludwig Tieck,Straußfedern,,Vokiečių,,,Proza,,,,"Spinta A, 8 lentyna (apatinė)",,A5. Vokiškoji lentyna (originalo k.),,K00193,Lentynoje,,,,,,,,,,,,
194.0,Daniel Defoe,Moll Flanders,,Vokiečių,Sammlung Dieterich,,Romanas,Sammlung Dieterich,,,"Spinta A, 8 lentyna (apatinė)",,A5. Vokiškoji lentyna (originalo k.),,K00194,Lentynoje,,,,,,,,,,,,
195.0,Achim von Arnim; Clemens Brentano,Des Knaben Wunderhorn,,Vokiečių,Insel Verlag,,Poezija / dainos,insel taschenbuch,,,"Spinta A, 8 lentyna (apatinė)",Liaudies dainų rinkinys,B11. SF aukso amžius,,K00195,Lentynoje,,,,,,,,,,,,
196.0,Alain-René Le Sage,Gil Blas,Histoire de Gil Blas de Santillane,Vokiečių,Insel Verlag,,Romanas,insel taschenbuch,,,"Spinta A, 8 lentyna (apatinė)",,A5. Vokiškoji lentyna (originalo k.),,K00196,Lentynoje,,,,,,,,,,,,
197.0,,Das Nibelungenlied,,Vokiečių,Sammlung Dieterich,,Epas,Sammlung Dieterich,,,"Spinta A, 8 lentyna (apatinė)",Viduramžių epas,A2. Viduramžių ir tautų epai,,K00197,Lentynoje,,,,,,,,,,,,
198.0,Voltaire (Вольтер),Философские повести; Орлеанская девственница,,Rusų,,,Proza / poema,,,,"Spinta A, 8 lentyna (apatinė)",„Filosofinės apysakos; Orleano mergelė“,A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas),K00198,Lentynoje,,,,,,,,,,,,
199.0,,,,,,,,,,,"Spinta A, 8 lentyna (apatinė)",PATIKSLINTI: 8 lentynos dešinėje smėlio spalvos knyga su HESSE lipduku — nugarėlė neįskaitoma,"X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00199,Lentynoje,,,,,,,,,,,,
